"Lambda","upper","lower","upper.CI","lower.CI","upper.1","lower.1","upper.0","lower.0","Method"
1,-0.0546576660649095,-0.0546576660649097,NA,NA,NA,NA,NA,NA,"ZSB"
1,-0.0549047643625264,-0.0549047643625264,-0.0311442770427552,-0.0786652516822977,0.632916331566378,0.632916331566378,0.687821095928905,0.687821095928905,"DVDS"
1.001,-0.0543152633740324,-0.0550001064854245,NA,NA,NA,NA,NA,NA,"ZSB"
1.001,-0.0546465004691939,-0.0551624071944427,-0.0308888302123395,-0.0789257187706495,0.633081087479375,0.632752154568598,0.68791456176304,0.687727587948569,"DVDS"
1.002,-0.0539732403676997,-0.0553422425298417,NA,NA,NA,NA,NA,NA,"ZSB"
1.002,-0.054388705423869,-0.0554205970222336,-0.0306338281949496,-0.0791867131073367,0.633245614653201,0.632587239537385,0.688007836559619,0.68763432007707,"DVDS"
1.003,-0.0536315963717437,-0.0556840746464488,NA,NA,NA,NA,NA,NA,"ZSB"
1.003,-0.0541318802685322,-0.0556779793372169,-0.0303798172041271,-0.0794469390706184,0.633408999540661,0.632422843490824,0.688100822828041,0.687540879809193,"DVDS"
1.004,-0.0532903307135494,-0.0560256032824578,NA,NA,NA,NA,NA,NA,"ZSB"
1.004,-0.0538754184136638,-0.0559328854063365,-0.0301261243278403,-0.0797046031001769,0.633572158104968,0.632260910108204,0.688193795514541,0.687447576518631,"DVDS"
1.005,-0.0529494427220568,-0.0563668288840081,NA,NA,NA,NA,NA,NA,"ZSB"
1.005,-0.053618777982772,-0.0561900860638165,-0.0298722124692146,-0.0799646478432877,0.633735546323252,0.632097303258754,0.68828738932257,0.687354324306024,"DVDS"
1.006,-0.0526089317277503,-0.0567077518961765,NA,NA,NA,NA,NA,NA,"ZSB"
1.006,-0.0533623914026896,-0.0564466041801505,-0.0296185352587938,-0.0802240444771924,0.633898731615068,0.631933795946392,0.688380400126543,0.687261123017757,"DVDS"
1.007,-0.0522687970626608,-0.0570483727629712,NA,NA,NA,NA,NA,NA,"ZSB"
