"Lambda","upper","lower","upper.CI","lower.CI","upper.1","lower.1","upper.0","lower.0","Method"
1,-0.0545967887903235,-0.0545967887903237,NA,NA,NA,NA,NA,NA,"ZSB"
1,-0.0548422521431635,-0.0548422521431635,-0.0310696992800119,-0.0786148050063151,0.632916331550251,0.632916331550251,0.687758583693415,0.687758583693415,"DVDS"
1.001,-0.0542542668109992,-0.0549393484829854,NA,NA,NA,NA,NA,NA,"ZSB"
1.001,-0.0545823685729879,-0.0551014864983766,-0.0308130947897694,-0.0788773250691893,0.633081087463268,0.632752154552451,0.687853641050827,0.687663456036256,"DVDS"
1.002,-0.0539121246190579,-0.0552816036641776,NA,NA,NA,NA,NA,NA,"ZSB"
1.002,-0.0543225001771363,-0.0553613211658672,-0.0305564835217164,-0.0791404259047447,0.633245614637114,0.632587239521224,0.687948560687091,0.687568114814251,"DVDS"
1.003,-0.0535703615401451,-0.0556235547824687,NA,NA,NA,NA,NA,NA,"ZSB"
1.003,-0.054063959905449,-0.0556210632541663,-0.030301206073367,-0.0794034589699125,0.633408999524598,0.632422843474645,0.688043906728812,0.687472959430047,"DVDS"
1.004,-0.0532289769014648,-0.0559652022853509,NA,NA,NA,NA,NA,NA,"ZSB"
1.004,-0.0538051593986642,-0.0558778295779104,-0.0300456437827114,-0.0796634391130842,0.633572158088926,0.632260910092007,0.688138739669917,0.687377317487591,"DVDS"
1.005,-0.052887970031771,-0.0563065466192472,NA,NA,NA,NA,NA,NA,"ZSB"
1.005,-0.0535465861982754,-0.0561359609007762,-0.0297902592663514,-0.0799248790892827,0.633735546307232,0.632097303242539,0.688233264143316,0.687282132505507,"DVDS"
1.006,-0.0525473402613667,-0.0566475882295113,NA,NA,NA,NA,NA,NA,"ZSB"
1.006,-0.0532919868240979,-0.056380797349937,-0.0295390684576805,-0.0801701040920663,0.633898731599069,0.63193379593016,0.688314593280097,0.687190718423167,"DVDS"
1.007,-0.0522070869220976,-0.0569883275604316,NA,NA,NA,NA,NA,NA,"ZSB"
1.007,-0.0530341226673859,-0.0566366453115435,-0.0292843893829911,-0.0804288176533944,0.634061671440687,0.631770387376193,0.688407032687736,0.687095794108073,"DVDS"
1.008,-0.0518672093473494,-0.0573287650552384,NA,NA,NA,NA,NA,NA,"ZSB"
1.008,-0.0527749047710198,-0.0568932582510501,-0.0290284236453117,-0.0806882916254347,0.634226413970902,0.631607077286714,0.688500335537764,0.687001318741922,"DVDS"
1.009,-0.0515277068720437,-0.0576689011561053,NA,NA,NA,NA,NA,NA,"ZSB"
1.009,-0.052516661145594,-0.0571487349042488,-0.0287733347651879,-0.0809466757947584,0.634389156201429,0.631443865368964,0.688592600273213,0.686905817347023,"DVDS"
1.01,-0.0511885788326323,-0.0580087363041545,NA,NA,NA,NA,NA,NA,"ZSB"
1.01,-0.0522596537949811,-0.0574077697020506,-0.0285194348002158,-0.0812084875778611,0.634551674433705,0.631276827260623,0.688684596962673,0.686811328228686,"DVDS"
1.011,-0.0508498245670949,-0.0583482709394576,NA,NA,NA,NA,NA,NA,"ZSB"
1.011,-0.0520009072514181,-0.0576584819432228,-0.0282638110538005,-0.0814620132829216,0.634713969332412,0.631117443315389,0.688775925258612,0.68671487658383,"DVDS"
1.012,-0.0505114434149324,-0.0586875055010438,NA,NA,NA,NA,NA,NA,"ZSB"
1.012,-0.051746801136262,-0.0579118909051614,-0.0280128758316059,-0.081718286923204,0.634876040598863,0.63095531773784,0.688867208643001,0.686622841735125,"DVDS"
1.013,-0.0501734347171657,-0.0590264404269003,NA,NA,NA,NA,NA,NA,"ZSB"
1.013,-0.0514906503377534,-0.0581648306326537,-0.0277597630356992,-0.081974147245447,0.635037887702998,0.63079253828137,0.688957368914023,0.686528538040752,"DVDS"
1.014,-0.0498357978163289,-0.0593650761539778,NA,NA,NA,NA,NA,NA,"ZSB"
1.014,-0.0512361873829351,-0.058416488178486,-0.0275084385237992,-0.082228739222292,0.63519698225617,0.630631324839174,0.68904781301766,0.686433169639105,"DVDS"
1.015,-0.0494985320564677,-0.0597034131181934,NA,NA,NA,NA,NA,NA,"ZSB"
1.015,-0.0509840672071065,-0.0586710806425808,-0.0272594311774872,-0.0824863128017335,0.6353548243878,0.630467819853231,0.689138900495812,0.686338891594907,"DVDS"
1.016,-0.0491616367831324,-0.0600414517544353,NA,NA,NA,NA,NA,NA,"ZSB"
1.016,-0.0507262944980354,-0.0589222735532057,-0.0270047321102258,-0.0827404663698314,0.635518834560715,0.63030758314376,0.689229856696966,0.68624512905875,"DVDS"
1.017,-0.0488251113433762,-0.0603791924965656,NA,NA,NA,NA,NA,NA,"ZSB"
1.017,-0.0504713978882515,-0.0591753155269481,-0.0267527873233168,-0.0829965468723486,0.635679588258437,0.630145364584584,0.689320680111532,0.686150986146689,"DVDS"
1.018,-0.0484889550857509,-0.0607166357774233,NA,NA,NA,NA,NA,NA,"ZSB"
1.018,-0.0502167777158221,-0.059427961287452,-0.0265010918163028,-0.0832522020138445,0.635840120898204,0.629983409933976,0.689411371221428,0.686056898614027,"DVDS"
1.019,-0.0481531673603011,-0.0610537820288324,NA,NA,NA,NA,NA,NA,"ZSB"
1.019,-0.0499612848288244,-0.0596818232736087,-0.0262485185198348,-0.0835091174671696,0.636001580761485,0.629821392406497,0.689503215680106,0.685962865590309,"DVDS"
1.02,-0.0478177475185617,-0.0613906316815984,NA,NA,NA,NA,NA,NA,"ZSB"
1.02,-0.0497069291784069,-0.0599342348340271,-0.0259970386058049,-0.0837646278143898,0.636161732963974,0.629659472000615,0.689593706834642,0.685868662142381,"DVDS"
1.021,-0.0474826949135537,-0.061727185165518,NA,NA,NA,NA,NA,NA,"ZSB"
1.021,-0.0494536329978059,-0.0601808709752005,-0.0257465948293449,-0.0840141896724091,0.636321666818281,0.629497652554635,0.689678523529836,0.685775299816087,"DVDS"
1.022,-0.0471480088997781,-0.0620634429093809,NA,NA,NA,NA,NA,NA,"ZSB"
1.022,-0.0492005045228344,-0.0604295098340037,-0.0254962936639589,-0.0842658942409903,0.636481381590063,0.629335930356776,0.68976544019078,0.685681886112898,"DVDS"
1.023,-0.0468136888332143,-0.062399405340972,NA,NA,NA,NA,NA,NA,"ZSB"
1.023,-0.0489517823526457,-0.0606808324048176,-0.0252504874205029,-0.0845203672243394,0.636640877409771,0.629174305619187,0.689855138024004,0.685592659762417,"DVDS"
1.024,-0.0464797340713163,-0.0627350728870759,NA,NA,NA,NA,NA,NA,"ZSB"
1.024,-0.0486922166289798,-0.0609319296261313,-0.0249938920186767,-0.0847746359698501,0.636800894732271,0.629012776161058,0.689944705787189,0.685493111361251,"DVDS"
1.025,-0.0461461439730079,-0.0630704459734823,NA,NA,NA,NA,NA,NA,"ZSB"
1.025,-0.0484463907683607,-0.0611862299777101,-0.0247509989372663,-0.0850320447178822,0.636959985326525,0.628851341607115,0.690037571584825,0.685406376094886,"DVDS"
1.026,-0.0458129178986759,-0.063405525024986,NA,NA,NA,NA,NA,NA,"ZSB"
1.026,-0.0481941135274194,-0.0614340647798866,-0.0245014544269517,-0.0852830212875473,0.637118859195825,0.628692952299633,0.690127017079519,0.685312972723245,"DVDS"
1.027,-0.0454800552101735,-0.0637403104653938,NA,NA,NA,NA,NA,NA,"ZSB"
1.027,-0.0479421039124269,-0.0616845086344754,-0.0242521510192098,-0.0855366937161203,0.637277516741124,0.628531822814894,0.690216331449369,0.685219620653551,"DVDS"
1.028,-0.0451475552708051,-0.0640748027175278,NA,NA,NA,NA,NA,NA,"ZSB"
